prop_key,prop_value
Bangalore,bangalore_karnataka
Chennai,chennai_tamil_nadu
Hyderabad,hyderabad_telangana
Pune,pune_maharashtra
Kolkata,kolkata_west_bengal
Ahmedabad,ahmedabad_gujarat
New Delhi,new_delhi
Kavaratti,kavaratti_lakshadweep
Shillong,shillong_meghalaya
Gangtok,gangtok_sikkim
New Delhi,new_delhi
Noida,noida_uttar_pradesh
Greater Noida,greater_noida_uttar_pradesh
Gurgaon,gurgaon_haryana
Faridabad,faridabad_haryana
Ghaziabad,ghaziabad_uttar_pradesh
Mumbai,mumbai_maharashtra
Thane,thane_maharashtra
Navi Mumbai,navi_mumbai_maharashtra
Chandigarh City,chandigarh_city
Mohali,mohali_chandigarh
Panchkula,panchkula_chandigarh
Zirakpur,zirakpur_chandigarh
North Goa,north_goa
South Goa,south_goa
Nicobar,nicobar_andaman_nicobar
North & Middle Andaman,north_middle_andaman_andaman_nicobar
Port Blair,port_blair_andaman_nicobar
South Andaman,south_andaman_andaman_nicobar
Anantapur,anantapur_andhra_pradesh
Chittoor,chittoor_andhra_pradesh
East Godavari,east_godavari_andhra_pradesh
Guntur,guntur_andhra_pradesh
Kadapa,kadapa_andhra_pradesh
Krishna,krishna_andhra_pradesh
Kurnool,kurnool_andhra_pradesh
Nellore,nellore_andhra_pradesh
Prakasam,prakasam_andhra_pradesh
Rajahmundry,rajahmundry_andhra_pradesh
Srikakulam,srikakulam_andhra_pradesh
Vijayawada,vijayawada_andhra_pradesh
Visakhapatnam,visakhapatnam_andhra_pradesh
Vizianagaram,vizianagaram_andhra_pradesh
West Godavari,west_godavari_andhra_pradesh
Changlang,changlang_arunachal_pradesh
Itanagar,itanagar_arunachal_pradesh
Tawang,tawang_arunachal_pradesh
Barpeta,barpeta_assam
Bongaigaon,bongaigaon_assam
Dhemaji,dhemaji_assam
Dhubri,dhubri_assam
Dibrugarh,dibrugarh_assam
Goalpara,goalpara_assam
Golaghat,golaghat_assam
Guwahati,guwahati_assam
Hailakandi,hailakandi_assam
Jorhat,jorhat_assam
Kamrup,kamrup_assam
Karimganj,karimganj_assam
Kokrajhar,kokrajhar_assam
Marigaon,marigaon_assam
Nagaon,nagaon_assam
Nalbari,nalbari_assam
Sibsagar,sibsagar_assam
Silchar,silchar_assam
Sylhet,sylhet_assam
Tezpur,tezpur_assam
Tinsukia,tinsukia_assam
Araria,araria_bihar
Aurangabad,aurangabad_bihar
Banka,banka_bihar
Begusarai,begusarai_bihar
Bhagalpur,bhagalpur_bihar
Bhojpur,bhojpur_bihar
Buxar,buxar_bihar
Champaran,champaran_bihar
Darbhanga,darbhanga_bihar
Gaya,gaya_bihar
Gopalganj,gopalganj_bihar
Jamui,jamui_bihar
Jehanabad,jehanabad_bihar
Kaimur,kaimur_bihar
Katihar,katihar_bihar
Khagaria,khagaria_bihar
Kishanganj,kishanganj_bihar
Lakhisarai,lakhisarai_bihar
Madhepura,madhepura_bihar
Madhubani,madhubani_bihar
Munger,munger_bihar
Muzaffarpur,muzaffarpur_bihar
Nalanda,nalanda_bihar
Nawada,nawada_bihar
Patna,patna_bihar
Purnia,purnia_bihar
Saharsa,saharsa_bihar
Samastipur,samastipur_bihar
Saran,saran_bihar
Sasaram,sasaram_bihar
Sitamarhi,sitamarhi_bihar
Siwan,siwan_bihar
Vaishali,vaishali_bihar
Bastar,bastar_chhattisgarh
Bilaspur,bilaspur_chhattisgarh
Dantewada,dantewada_chhattisgarh
Dhamtari,dhamtari_chhattisgarh
Durg,durg_chhattisgarh
Janjgir-Champa,janjgir_champa_chhattisgarh
Jashpur,jashpur_chhattisgarh
Kanker,kanker_chhattisgarh
Kawardha,kawardha_chhattisgarh
Korba,korba_chhattisgarh
Kota,kota_chhattisgarh
